"Country","Region","Type","Country1","lat1","lon1","top1","right1","bottom1","left1"
"South Georgia and the South Sandwich Isl","","Country","South Georgia and the South Sandwich Isl","-54.45","-36.91","-38.03","-54.89","-35.78","-54"
"South Korea","","Country","South Korea","40.33","127.51","126.12","33.19","129.59","38.62"
"Spain","","Country","Spain","35.75","-6.83","-18","27.73","4.34","43.77"
"Sri Lanka","","Country","Sri Lanka","7.88","80.79","79.7","5.94","81.89","9.83"
"St Kitts Nevis","","Country","St Kitts Nevis","17.25","-62.7","-62.86","17.09","-62.53","17.41"
"St Lucia","","Country","St Lucia","13.91","-60.99","-61.08","13.72","-60.89","14.1"
"St Vincent and the Grenadines","","Country","St Vincent and the Grenadines","12.98","-61.29","-61.46","12.58","-61.12","13.38"
"Sudan","","Country","Sudan","13.31","30.22","21.83","3.49","38.62","23.13"
"Suriname","","Country","Suriname","3.92","-56.03","-58.07","1.85","-53.98","6"
"Swaziland","","Country","Swaziland","-26.52","31.47","30.8","-27.32","32.13","-25.73"
"Sweden","","Country","Sweden","62.03","17.64","11.11","55","24.17","69.06"
"Switzerland","","Country","Switzerland","46.82","8.23","5.97","45.82","10.49","47.81"
"Syria","","Country","Syria","34.82","38.98","35.59","32.31","42.37","37.32"
"Taiwan","","Country","Taiwan","23.59","121.03","120.05","21.9","122","25.28"
"Tajikistan","","Country","Tajikistan","38.86","71.28","67.36","36.67","75.19","41.05"
"Tanzania","Sub Saharan Africa","Country","Tanzania","-6.36","35.02","29.59","-11.73","40.45","-1"
"Thailand","","Country","Thailand","13.04","101.49","97.35","5.63","105.63","20.46"
"Togo","","Country","Togo","8.62","0.82","-0.15","6.1","1.8","11.14"
"Tonga","","Country","Tonga","-20.01","-174.63","-175.36","-21.45","-173.91","-18.57"
"Trinidad And Tobago","","Country","Trinidad And Tobago","10.44","-61.43","-61.92","10.04","-60.93","10.84"
"Tunisia","","Country","Tunisia","33.79","9.54","7.49","30.24","11.58","37.34"
"Turkey","","Country","Turkey","38.96","35.43","26.03","35.82","44.82","42.11"
"Turkmenistan","","Country","Turkmenistan","38.97","59.56","52.44","35.15","66.67","42.8"
"Turks and Caicos Islands","","Country","Turks and Caicos Islands","21.12","-73.35","-73.71","20.92","-73","21.33"
"Tuvalu","","Country","Tuvalu","-7.85","179.11","178.84","-8.13","179.38","-7.57"
"Uganda","","Country","Uganda","1.38","32.3","29.58","-1.46","35.03","4.22"
"Ukraine","","Country","Ukraine","48.39","31.17","22.15","44.4","40.18","52.38"
"United Arab Emirates","","Country","United Arab Emirates","24.07","53.6","50.83","22.06","56.38","26.08"
"United Kingdom","","Country","United Kingdom","55.29","-3.21","-8.16","49.96","1.74","60.63"
"United States of America","","Country","United States","40","-97","-178.21","18.54","-48.47","71.41"
"Uruguay","","Country","Uruguay","-32.54","-55.77","-58.44","-34.98","-53.1","-30.1"
"Uzbekistan","","Country","Uzbekistan","41.38","64.59","56","37.19","73.17","45.57"
"Vanuatu","","Country","Vanuatu","-15.16","167.63","165.78","-19.64","169.48","-10.67"
"Venezuela (Bolivarian Republic of)","","Country","Venezuela","6.42","-66.59","-73.38","0.65","-59.8","12.2"
"Viet Nam","Asia","Country","Vietnam","15.98","105.8","102.14","8.57","109.46","23.38"
"Western Sahara","","Country","Western Sahara","24.22","-12.87","-17.07","20.77","-8.67","27.67"
"World","","Global","World","","","","","",""
"Yemen","","Country","Yemen","15.8","47.85","42.61","12.6","53.08","19"
"Zambia","","Country","Zambia","-13.15","27.85","22","-18.08","33.69","-8.22"
"Zimbabwe","","Country","Zimbabwe","-19.02","29.15","25.24","-22.42","33.07","-15.62"
